name,Rounds played,Cheese gathered,Cheese gathered first,Bootcamp,Mice saved,Mice saved (hard),Mice saved (divine),Cheese gathered as shaman,url
Vsraty,3732889,1625204,54812,20639,1544086,449589,673382,43777,https://cheese.formice.com/transformice/tribe/943165
remember to smile,5861532,2100074,198695,57498,1853007,567172,432503,73686,https://cheese.formice.com/transformice/tribe/841975
Science Speed,9219497,2851100,234746,60541,2046145,495214,106803,89196,https://cheese.formice.com/transformice/tribe/441236
The Treatbox,6922749,2418362,64960,17136,1818947,536393,445566,63150,https://cheese.formice.com/transformice/tribe/967304
Peep',9223859,2918108,286367,84743,1994156,464185,897064,90633,https://cheese.formice.com/transformice/tribe/1114089
Something Different,3770984,1439764,185954,39585,1695188,691976,401432,82623,https://cheese.formice.com/transformice/tribe/1024838
Pudding's Love,2935151,1391930,181823,143729,1371664,539467,206300,48939,https://cheese.formice.com/transformice/tribe/30184
PR0PHECY,9554491,2966415,191663,52336,1920726,602178,167872,93659,https://cheese.formice.com/transformice/tribe/1048085
Antyvice,3157711,1145676,343902,164285,1647566,447757,837948,88570,https://cheese.formice.com/transformice/tribe/1140367
My mom's proud,6665029,2305815,481374,79913,1785983,465678,788204,93137,https://cheese.formice.com/transformice/tribe/1047993
Prison,1967535,726973,157045,12893,1167368,587812,265543,55837,https://cheese.formice.com/transformice/tribe/996615
Little Girls,4427908,1667300,194737,6569,1716505,500631,1206,51218,https://cheese.formice.com/transformice/tribe/2390
nanjei,1671374,1000088,49427,59973,1080780,302336,430809,34680,https://cheese.formice.com/transformice/tribe/623314
Dracarys,1880314,777308,176553,8786,1337623,827842,56769,53548,https://cheese.formice.com/transformice/tribe/471982
dreaming is living,3011043,1179662,228645,41812,1726637,782356,691487,96822,https://cheese.formice.com/transformice/tribe/1133950
*-* x99,5990387,2085248,386739,52941,1785703,750857,289178,94533,https://cheese.formice.com/transformice/tribe/414760
Hellcats-s2,10251871,3008635,174881,31023,2016866,570951,398888,101265,https://cheese.formice.com/transformice/tribe/1136353
Playing Be Calm,3373560,1479525,159848,40858,1450858,623532,222357,69659,https://cheese.formice.com/transformice/tribe/455490
Wonderfall,10511482,3039649,216099,43194,2011903,545224,204781,93006,https://cheese.formice.com/transformice/tribe/1024325
Laissez Faire,4865545,1838731,110242,11033,1667603,361003,468803,75014,https://cheese.formice.com/transformice/tribe/1007723
Beyond the paranormal,8043626,2579458,299201,63373,1835994,609104,386561,93380,https://cheese.formice.com/transformice/tribe/1136935
eu nem sei porq ainda jogo isso,5552410,1885981,351984,60162,1824571,685091,529310,112540,https://cheese.formice.com/transformice/tribe/1033714
Normal Society,2158567,937551,142564,7701,1344343,487224,522580,66403,https://cheese.formice.com/transformice/tribe/937593
SGOD crew,2912857,1209123,193878,21404,1462892,538508,232248,66481,https://cheese.formice.com/transformice/tribe/639030
Kwas Cynamonowy,4139693,1556211,162888,20386,1645323,483627,618320,78366,https://cheese.formice.com/transformice/tribe/452686
mishi tvoego dvora,2052163,1070237,60992,21230,1184638,254149,674759,30804,https://cheese.formice.com/transformice/tribe/1021056
Green Wolves,9212602,2811035,98142,25261,1873381,513548,552988,63042,https://cheese.formice.com/transformice/tribe/946757
Take my drink please,10718901,3114864,195511,57227,1873033,631807,364326,96825,https://cheese.formice.com/transformice/tribe/1057241
Whiteness,9306046,2776992,119415,33388,1937602,548327,256499,72618,https://cheese.formice.com/transformice/tribe/936514
Je te vois,1085760,469044,147965,6748,1045133,404945,452501,58884,https://cheese.formice.com/transformice/tribe/1075476
FamilySky,10162264,3130169,350125,104965,1592226,473835,214198,83490,https://cheese.formice.com/transformice/tribe/1045631
DarkOblivion,6521769,2273221,89211,36425,1661530,430665,210482,63648,https://cheese.formice.com/transformice/tribe/707537
vlone,591475,306299,169660,2777,771731,505902,214147,46037,https://cheese.formice.com/transformice/tribe/977618
Biladerim icin,799283,345420,172768,16280,904251,511001,243981,42528,https://cheese.formice.com/transformice/tribe/1109758
Old But Legend,829466,366879,144438,5012,920235,498642,189735,40698,https://cheese.formice.com/transformice/tribe/865257
S E K U T E R A N,5923759,2190535,101051,32697,1531625,455164,359031,58310,https://cheese.formice.com/transformice/tribe/962634
parsamuro,2187938,976007,168658,17065,1286171,443763,154707,64863,https://cheese.formice.com/transformice/tribe/1587
ForBrotherHood 2,9727196,2814734,214783,46473,1930038,400708,71337,68812,https://cheese.formice.com/transformice/tribe/797687
The Tachyons,2299788,1037799,117570,21386,1290015,457232,349075,59839,https://cheese.formice.com/transformice/tribe/697328
VROOM,2428763,1038072,154730,23052,1341618,432264,31973,45839,https://cheese.formice.com/transformice/tribe/44968
De tu envidia nace mi fama,5402976,1854188,242210,64267,1714275,606001,579593,87800,https://cheese.formice.com/transformice/tribe/529961
better off alone',7944687,2331996,330110,56481,1980050,846603,517394,102607,https://cheese.formice.com/transformice/tribe/1138787
